Customer ID,Customer Name,Recency,Frequency,Monetary,Avg_Item_Price,Unique_Product_Count,Fav_Product,City,State,Region,Furniture_Count,Office Supplies_Count,Technology_Count,First Class_Count,Same Day_Count,Second Class_Count,Standard Class_Count,Consumer_Count,Corporate_Count,Home Office_Count,Cluster
AG-10675,Anna Gayman,97,7,3489.0396,232.60264,15,Avery Durable Poly Binders,Houston,Texas,South,3,9,3,2,0,7,6,15,0,0,2
AG-10765,Anthony Garverick,77,4,170.584,34.1168,5,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",Chicago,Illinois,Central,0,5,0,0,1,0,4,0,0,5,0
AG-10900,Arthur Gainer,96,10,4510.7970000000005,214.79985714285718,21,Acme Forged Steel Scissors with Black Enamel Handles,Tucson,California,West,8,11,2,6,0,2,13,21,0,0,2
AH-10030,Aaron Hawkins,12,7,1744.7,158.60909090909092,11,"ACCOHIDE 3-Ring Binder, Blue, 1""",San Francisco,California,East,2,7,2,3,0,3,5,0,11,0,0
AH-10075,Adam Hart,34,10,3250.337,162.51685,20,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",Cranston,Rhode Island,East,6,13,1,9,3,3,5,0,20,0,2
AH-10120,Adrian Hane,60,7,1735.5140000000001,108.46962500000001,16,Avery White Multi-Purpose Labels,Salem,Oregon,West,2,10,4,9,1,1,5,0,0,16,0
AH-10195,Alan Haines,55,4,1587.452,198.4315,8,36X48 HARDFLOOR CHAIRMAT,Tamarac,Florida,East,2,6,0,1,0,5,2,0,8,0,0
AH-10210,Alan Hwang,6,9,4805.344,369.64184615384613,13,Avery Durable Slant Ring Binders With Label Holder,New York City,California,West,0,9,4,4,0,0,9,13,0,0,2
AH-10465,Amy Hunt,230,5,2495.3916,311.92395,8,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",Dallas,Texas,Central,2,4,2,0,0,4,4,8,0,0,0
AH-10585,Angele Hood,21,4,738.504,147.70080000000002,5,Global Comet Stacking Armless Chair,Seattle,Washington,West,2,2,1,0,1,2,2,5,0,0,0
AH-10690,Anna Häberlin,410,12,7888.294,342.9693043478261,23,Avery 473,Plantation,Florida,South,7,11,5,1,0,2,20,0,23,0,2
AI-10855,Arianne Irving,13,10,4375.786,243.09922222222224,18,Alphabetical Labels for Top Tab Filing,Los Angeles,California,West,3,12,3,1,1,8,8,18,0,0,2
AJ-10780,Anthony Jacobs,75,7,4867.344,324.4896,15,ACCOHIDE Binder by Acco,Baltimore,Maryland,East,3,11,1,6,0,1,8,0,15,0,2
AJ-10795,Anthony Johnson,166,7,4501.391,214.35195238095235,21,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",San Francisco,California,West,6,10,5,0,0,7,14,0,21,0,2
AJ-10945,Ashley Jarboe,121,6,1829.8960000000002,203.3217777777778,9,Avery 491,Detroit,Michigan,Central,1,5,3,1,0,3,5,9,0,0,0
AJ-10960,Astrea Jones,74,3,629.2479999999999,125.84959999999998,5,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",New York City,New York,East,0,5,0,0,0,1,4,5,0,0,0
AM-10360,Alice McCarthy,28,5,814.012,67.83433333333333,12,3-ring staple pack,Los Angeles,California,West,1,10,1,2,5,1,4,0,12,0,0
AM-10705,Anne McFarland,162,8,5664.022,257.4555454545455,22,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Cranston,Rhode Island,South,8,12,2,0,0,8,14,22,0,0,2
AO-10810,Anthony O'Donnell,501,1,161.28,161.28,1,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",Los Angeles,California,West,1,0,0,1,0,0,0,0,1,0,1
AP-10720,Anne Pryor,41,6,545.932,54.5932,10,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",New York City,New York,East,3,5,2,1,2,0,7,0,0,10,0
AP-10915,Arthur Prichep,98,10,3323.556,107.21148387096774,30,Xerox 1988,Los Angeles,California,West,6,21,4,3,1,5,22,31,0,0,2
AR-10345,Alex Russell,111,4,1055.694,211.1388,5,ClearSounds CSC500 Amplified Spirit Phone Corded phone,Philadelphia,Pennsylvania,East,2,1,2,1,0,3,1,0,5,0,0
AR-10405,Allen Rosenblatt,125,5,2236.1279999999997,319.4468571428571,7,Bevis Round Conference Room Tables and Bases,Los Angeles,California,East,3,2,2,0,1,2,4,0,7,0,0
AR-10510,Andrew Roberts,14,5,264.864,37.837714285714284,7,Angle-D Ring Binders,Philadelphia,Pennsylvania,East,0,5,2,0,1,0,6,7,0,0,0
AR-10540,Andy Reiter,6,6,6608.448,734.272,9,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Jackson,California,Central,2,6,1,0,0,6,3,9,0,0,2
AR-10570,Anemone Ratner,534,1,88.15,44.075,2,Cardinal Holdit Data Disk Pockets,Columbus,Georgia,South,1,1,0,0,0,0,2,2,0,0,1
AR-10825,Anthony Rawles,58,8,4523.336,347.9489230769231,13,3M Hangers With Command Adhesive,New York City,New York,West,5,5,3,0,0,7,6,0,13,0,2
AS-10045,Aaron Smayling,88,7,3050.692,305.0692,10,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Jacksonville,North Carolina,South,2,6,2,6,0,0,4,0,10,0,0
AS-10090,Adam Shillingsburg,28,9,3255.31,130.2124,24,Binder Posts,New York City,New York,East,5,18,2,7,0,2,16,25,0,0,2
AS-10135,Adrian Shami,41,2,58.82,19.606666666666666,3,Avery Printable Repositionable Plastic Tabs,New York City,New York,East,1,2,0,2,0,0,1,0,0,3,0
AS-10225,Alan Schoenberger,22,5,4260.784,327.75261538461535,13,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",Provo,Utah,West,3,8,2,0,0,12,1,0,13,0,0
AS-10240,Alan Shonely,192,5,503.968,50.3968,10,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Tampa,Florida,South,2,8,0,0,0,3,7,10,0,0,0
AS-10285,Alejandro Savely,19,6,3214.236,401.7795,8,Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,Dallas,California,Central,2,4,2,3,0,1,4,0,8,0,0
AS-10630,Ann Steele,92,7,833.398,69.44983333333333,10,Avery 474,Boynton Beach,Florida,South,2,9,1,0,0,0,12,0,0,12,0
AT-10435,Alyssa Tate,21,5,1166.0720000000001,145.75900000000001,8,Bevis 36 x 72 Conference Tables,Los Angeles,California,West,2,5,1,1,0,5,2,0,0,8,0
AT-10735,Annie Thurman,13,10,3831.8639999999996,239.49149999999997,16,"Ampad Evidence Wirebond Steno Books, 6"" x 9""",New York City,New York,East,1,12,3,1,2,3,10,16,0,0,2
AW-10840,Anthony Witt,20,4,649.3760000000001,81.17200000000001,8,Avery 505,Bakersfield,California,West,1,5,2,4,0,1,3,8,0,0,0
AW-10930,Arthur Wiediger,46,7,2852.9680000000003,178.31050000000002,16,APC 7 Outlet Network SurgeArrest Surge Protector,Houston,Texas,Central,3,10,3,2,0,7,7,0,0,16,0
AY-10555,Andy Yotov,14,4,497.014,49.7014,10,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Los Angeles,California,West,5,4,1,1,0,4,5,0,10,0,0
AZ-10750,Annie Zypern,160,6,1622.018,135.16816666666668,12,Anker Astro 15000mAh USB Portable Charger,San Diego,California,West,2,8,2,0,3,1,8,12,0,0,0
BB-10990,Barry Blumstein,105,5,744.34,93.0425,8,Aastra 6757i CT Wireless VoIP phone,Inglewood,California,West,0,7,1,2,0,2,4,0,8,0,0
BB-11545,Brenda Bowman,28,9,6765.728,338.2864,20,Anker Astro 15000mAh USB Portable Charger,Fort Worth,Texas,Central,5,12,3,0,3,1,16,0,20,0,2
BC-11125,Becky Castell,202,9,2933.676,162.982,18,Boston 16801 Nautilus Battery Pencil Sharpener,Peoria,California,West,6,9,3,5,1,8,4,0,0,18,2
BD-11320,Bill Donatelli,33,12,5718.521,300.9747894736842,19,AT&T 841000 Phone,Los Angeles,California,West,5,9,5,0,0,4,15,19,0,0,2
BD-11500,Bradley Drucker,35,6,4411.2429999999995,441.12429999999995,10,Artistic Insta-Plaque,Chicago,Illinois,Central,2,6,2,2,0,0,8,10,0,0,0
BD-11560,Brendan Dodson,278,2,320.54,80.135,4,Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB,Fresno,California,West,0,3,1,0,0,0,4,0,0,4,1
BD-11605,Brian Dahlen,97,6,2783.189,185.54593333333332,15,4009 Highlighters by Sanford,Monroe,Louisiana,South,4,9,2,1,0,2,12,15,0,0,0
BD-11620,Brian DeCherney,69,6,1538.11,192.26375,8,AT&T 17929 Lendline Telephone,Lawton,California,East,2,4,2,1,3,1,3,8,0,0,0
BD-11635,Brian Derr,9,3,582.646,116.52919999999999,5,Avery Arch Ring Binders,New York City,New York,East,1,3,1,1,0,4,0,5,0,0,0
BD-11725,Bruce Degenhardt,93,6,1526.5,152.65,10,Acrylic Self-Standing Desk Frames,Lafayette,California,South,5,5,0,3,0,3,4,10,0,0,0
BD-11770,Bryan Davis,327,6,658.466,65.8466,10,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Edmonds,Washington,East,1,7,2,1,0,0,9,10,0,0,0
BE-11335,Bill Eplett,119,5,4204.6759999999995,467.18622222222217,9,Avaya 5420 Digital phone,Jackson,New York,Central,2,4,3,2,0,0,7,0,0,9,0
BE-11410,Bobby Elias,98,5,2261.438,452.2876,5,Airmail Envelopes,Appleton,California,Central,0,4,1,2,1,0,2,5,0,0,0
BE-11455,Brad Eason,481,5,748.026,74.8026,10,Advantus T-Pin Paper Clips,Providence,Rhode Island,East,2,6,2,0,0,6,4,0,0,10,1
BF-10975,Barbara Fisher,91,7,599.798,46.13830769230769,13,9-3/4 Diameter Round Wall Clock,Charlotte,North Carolina,South,2,11,0,1,0,3,9,0,13,0,0
BF-11005,Barry Franz,39,4,1333.88,133.388,10,"Acco Six-Outlet Power Strip, 4' Cord Length",Pasadena,California,West,2,6,2,0,0,0,10,0,0,10,0
BF-11020,Barry Französisch,74,8,2888.506,137.54790476190476,21,Acco Hot Clips Clips to Go,Arlington,Texas,Central,6,10,5,6,1,12,2,0,21,0,2
BF-11080,Bart Folk,25,3,272.95,45.49166666666667,6,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Baltimore,Maryland,East,0,6,0,3,0,2,1,6,0,0,0
BF-11170,Ben Ferrer,16,11,5907.972,218.81377777777777,27,"#10 White Business Envelopes,4 1/8 x 9 1/2",Los Angeles,California,West,5,14,8,0,0,8,19,0,0,27,2
BF-11215,Benjamin Farhat,65,4,1585.162,198.14525,8,"Bush Cubix Conference Tables, Fully Assembled",Albuquerque,New Mexico,West,2,4,2,0,0,5,3,0,0,8,0
BF-11275,Beth Fritzler,57,3,791.9899999999999,197.99749999999997,4,Belkin 7-Outlet SurgeMaster Home Series,Tucson,Arizona,South,1,2,1,0,0,0,4,0,4,0,0
BG-11035,Barry Gonzalez,28,8,2798.948,233.24566666666666,12,Apple EarPods with Remote and Mic,Austin,Texas,South,1,9,2,2,1,0,9,12,0,0,2
BG-11695,Brooke Gillingham,36,6,1874.172,234.2715,8,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",New York City,New York,East,2,5,1,1,1,0,6,0,8,0,0
BG-11740,Bruce Geld,57,6,1006.356,143.76514285714285,7,Avery 476,Los Angeles,California,West,3,3,1,3,0,0,4,7,0,0,0
BH-11710,Brosina Hoffman,23,8,6255.351,260.63962499999997,24,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Los Angeles,California,South,4,13,7,4,0,0,20,24,0,0,2
BK-11260,Berenike Kampe,77,6,659.1379999999999,41.196124999999995,16,Acme Box Cutter Scissors,Chicago,California,West,3,11,2,0,0,1,15,16,0,0,0
BM-11140,Becky Martin,307,4,11789.63,736.851875,16,BIC Brite Liner Highlighters,San Antonio,Texas,Central,3,10,3,6,0,2,8,16,0,0,0
BM-11575,Brendan Murry,100,6,808.162,80.81620000000001,9,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Chicago,Illinois,East,4,4,2,1,0,3,6,0,10,0,0
BM-11650,Brian Moss,33,11,7294.185,251.5236206896552,28,Adjustable Depth Letter/Legal Cart,Columbus,Indiana,Central,3,19,7,5,0,11,13,0,29,0,2
BM-11785,Bryan Mills,218,10,1338.842,95.63157142857143,14,Acco D-Ring Binder w/DublLock,Columbus,Ohio,East,2,7,5,1,1,7,5,14,0,0,2
BN-11470,Brad Norvell,24,4,265.296,44.216,6,Fellowes 8 Outlet Superior Workstation Surge Protector,Cary,North Carolina,South,0,4,2,0,0,2,4,0,6,0,0
BN-11515,Bradley Nguyen,9,5,1459.344,85.84376470588235,17,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,New York City,New York,East,4,13,0,0,0,1,16,17,0,0,0
BO-11350,Bill Overfelt,137,5,2682.728,223.56066666666666,12,Advantus Plastic Paper Clips,Philadelphia,Pennsylvania,East,5,6,1,0,0,0,12,0,12,0,0
BO-11425,Bobby Odegard,75,2,130.83,65.415,2,Large Capacity Hanging Post Binders,New York City,Kentucky,East,0,2,0,0,0,0,2,2,0,0,0
BP-11050,Barry Pond,83,5,983.42,140.48857142857142,7,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",Chicago,California,East,0,6,1,1,0,0,6,0,7,0,0
BP-11095,Bart Pistole,17,12,2442.044,122.1022,19,Wi-Ex zBoost YX540 Cellular Phone Signal Booster,Los Angeles,California,West,1,14,5,7,2,3,8,0,20,0,2
BP-11155,Becky Pak,89,6,1697.861,154.351,11,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Paterson,New Jersey,East,2,7,2,0,0,8,3,11,0,0,0
BP-11185,Ben Peterman,1,9,3675.861,204.2145,18,Avery 509,Arvada,Colorado,West,6,9,3,1,2,7,8,0,18,0,2
BP-11230,Benjamin Patterson,39,5,1181.49,196.915,6,Avery Heavy-Duty EZD View Binder with Locking Rings,Broken Arrow,California,West,3,2,1,0,0,1,5,6,0,0,0
BP-11290,Beth Paige,12,7,2475.157,154.6973125,16,Avery 494,Columbus,Illinois,Central,7,9,0,0,2,1,13,16,0,0,0
BS-11365,Bill Shonely,558,5,10501.653,1166.8503333333333,9,"3D Systems Cube Printer, 2nd Generation, Magenta",Lakewood,New Jersey,East,4,3,2,2,1,0,6,0,9,0,1
BS-11380,Bill Stewart,28,5,3887.834,299.06415384615383,13,Aluminum Screw Posts,Denver,Colorado,West,3,6,4,0,0,0,13,0,13,0,0
BS-11590,Brendan Sweed,35,6,2454.928,245.4928,10,Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,Columbus,Ohio,East,2,6,2,1,0,1,8,0,10,0,0
BS-11665,Brian Stugart,582,3,3288.11,298.9190909090909,11,36X48 HARDFLOOR CHAIRMAT,San Diego,California,West,5,4,2,0,0,0,11,11,0,0,1
BS-11755,Bruce Stewart,1,7,2562.382,183.0272857142857,14,APC 7 Outlet Network SurgeArrest Surge Protector,Detroit,Michigan,West,5,8,1,2,0,0,12,14,0,0,0
BS-11800,Bryan Spruell,265,2,949.43,118.67875,8,Avery File Folder Labels,New York City,New York,East,0,8,0,6,0,0,2,0,0,8,0
BT-11305,Beth Thompson,336,5,2567.656,285.2951111111111,9,Acco Hanging Data Binders,San Gabriel,California,West,4,4,1,0,0,2,7,0,0,9,1
BT-11395,Bill Tyler,302,6,2186.6130000000003,218.66130000000004,10,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,Los Angeles,California,West,3,5,2,2,0,0,8,0,10,0,0
BT-11440,Bobby Trafton,560,4,603.876,86.268,7,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",New York City,New York,East,4,3,0,1,0,1,5,7,0,0,1
BT-11485,Brad Thomas,659,2,415.19599999999997,138.39866666666666,3,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",Clinton,Maryland,East,1,2,0,0,1,0,2,0,0,3,1
BT-11530,Bradley Talbott,91,5,2684.4919999999997,268.44919999999996,10,4009 Highlighters by Sanford,Los Angeles,California,West,1,5,4,0,0,6,4,0,0,10,0
BT-11680,Brian Thompson,20,7,3196.752,159.8376,20,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,Clinton,Maryland,East,4,14,2,1,2,0,17,20,0,0,2
BV-11245,Benjamin Venier,334,5,1523.273,108.80521428571429,14,9-3/4 Diameter Round Wall Clock,Des Moines,Iowa,Central,3,9,2,4,0,0,10,0,14,0,1
BW-11065,Barry Weirich,212,3,385.516,128.50533333333334,3,"Executive Impressions 13"" Clairmont Wall Clock",New York City,New York,East,1,2,0,0,0,0,3,3,0,0,0
BW-11110,Bart Watters,121,8,4750.358,279.4328235294118,17,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",New York City,New York,East,4,10,3,2,0,2,13,0,17,0,2
BW-11200,Ben Wallace,203,6,1738.406,173.8406,10,"Advantus Push Pins, Aluminum Head",New York City,New York,East,3,6,1,1,0,1,8,10,0,0,0
CA-11965,Carol Adams,96,6,3789.7228,378.97228,10,Avery Poly Binder Pockets,Port Arthur,Texas,Central,3,5,2,2,0,6,2,0,10,0,0
CA-12055,Cathy Armstrong,401,5,1679.7240000000002,167.97240000000002,10,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",Houston,Texas,Central,1,7,2,2,0,1,7,0,0,10,1
CA-12265,Christina Anderson,56,8,2638.3272,164.89545,16,Avery 481,Chattanooga,California,South,3,8,5,1,2,0,13,16,0,0,2
CA-12310,Christine Abelman,13,4,1421.954,129.26854545454546,11,AT&T 17929 Lendline Telephone,Bristol,Connecticut,East,1,6,4,0,0,0,11,0,11,0,0
CA-12775,Cynthia Arntzen,120,7,3041.566,178.9156470588235,17,Acme Titanium Bonded Scissors,Philadelphia,Pennsylvania,East,5,9,3,4,1,6,6,17,0,0,0
CB-12025,Cassandra Brandow,47,9,5730.669,260.4849545454545,21,"Hot File 7-Pocket, Floor Stand",Los Angeles,California,West,4,16,2,0,2,2,18,22,0,0,2
CB-12415,Christy Brittain,26,8,1949.2000000000003,162.43333333333337,12,"ACCOHIDE 3-Ring Binder, Blue, 1""",Chicago,Illinois,East,1,10,1,3,1,0,8,12,0,0,2
CB-12535,Claudia Bergmann,197,8,4246.4555,223.49765789473685,19,4009 Highlighters,Camarillo,California,East,6,11,2,0,4,3,12,0,19,0,2
CC-12100,Chad Cunningham,457,5,1685.8890000000001,140.49075000000002,12,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Los Angeles,California,West,2,5,5,5,0,0,7,0,0,12,1
CC-12145,Charles Crestani,106,7,2471.65,224.69545454545457,11,Bady BDG101FRU Card Printer,San Diego,California,West,3,7,1,4,0,1,6,11,0,0,0
CC-12220,Chris Cortes,20,11,3670.258,174.77419047619046,21,"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",Seattle,Washington,West,4,11,6,7,2,3,9,21,0,0,2
CC-12370,Christopher Conant,43,5,12129.072,1102.6429090909091,11,Avaya 5410 Digital phone,Philadelphia,Pennsylvania,East,3,5,3,0,0,4,7,11,0,0,2
CC-12430,Chuck Clark,0,10,2870.05,151.05526315789476,18,Logitech G19 Programmable Gaming Keyboard,New York City,California,East,5,10,4,2,0,7,10,0,0,19,2
CC-12475,Cindy Chapman,39,9,1659.438,127.64907692307693,13,Astroparche Fine Business Paper,Houston,California,East,1,9,3,3,2,1,7,13,0,0,2
CC-12550,Clay Cheatham,27,3,113.832,28.458,4,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Los Angeles,California,West,0,3,1,1,0,0,3,4,0,0,0
CC-12610,Corey Catlett,34,7,2540.6310000000003,211.71925000000002,12,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Denver,Colorado,South,4,6,2,6,0,3,3,0,12,0,0
CC-12670,Craig Carreira,29,7,2269.7015,162.12153571428573,14,Acco 3-Hole Punch,Tampa,Florida,South,2,8,4,0,0,12,2,14,0,0,0
CC-12685,Craig Carroll,798,4,2854.1150000000002,237.8429166666667,12,Belkin 5 Outlet SurgeMaster Power Centers,Henderson,Kentucky,South,0,10,2,0,0,0,12,12,0,0,1
CD-11920,Carlos Daly,40,5,2033.968,225.99644444444445,9,Belkin 8 Outlet Surge Protector,New York City,New York,East,3,5,1,4,0,0,5,9,0,0,0
CD-11980,Carol Darley,54,3,639.766,106.62766666666666,6,Hoover Portapower Portable Vacuum,Tyler,Texas,Central,1,4,1,0,0,0,6,6,0,0,0
CD-12280,Christina DeMoss,42,2,1205.584,92.73723076923078,13,Anker Astro 15000mAh USB Portable Charger,New York City,New York,East,3,8,2,5,0,8,0,13,0,0,0
CD-12790,Cynthia Delaney,399,5,1860.732,124.0488,15,Staples,Oklahoma City,California,West,1,12,2,4,0,0,11,0,0,15,1
CG-12040,Catherine Glotzbach,49,6,904.4680000000001,100.49644444444445,9,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Philadelphia,Pennsylvania,East,0,8,1,0,0,1,8,0,0,9,0
CG-12520,Claire Gute,338,3,1148.78,229.756,5,Bush Somerset Collection Bookcase,Dallas,Texas,Central,3,2,0,1,2,2,0,5,0,0,1
CH-12070,Cathy Hwang,690,3,1537.236,384.309,4,Panasonic KX T7736-B Digital phone,Philadelphia,Pennsylvania,East,0,2,2,0,0,2,2,0,0,4,1
CJ-11875,Carl Jackson,365,1,16.52,16.52,1,Newell 31,Philadelphia,Pennsylvania,East,0,1,0,1,0,0,0,0,1,0,1
CJ-12010,Caroline Jumper,189,8,11164.974,558.2487,20,12 Colored Short Pencils,New York City,New York,East,9,8,3,0,0,0,20,20,0,0,2
CK-12205,Chloris Kastensmidt,39,13,3154.855,98.58921875,32,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Columbus,Texas,East,5,21,6,6,3,2,21,32,0,0,2
CK-12325,Christine Kargatis,120,5,2945.321,245.44341666666665,12,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Troy,Ohio,East,6,5,1,5,0,0,7,0,0,12,0
CK-12595,Clytie Kelty,43,11,2372.75,94.91,24,Plantronics S12 Corded Telephone Headset System,Little Rock,Arkansas,East,5,15,5,14,0,3,8,25,0,0,2
CK-12760,Cyma Kinney,82,9,1582.109,113.0077857142857,14,Acme Office Executive Series Stainless Steel Trimmers,New York City,New York,East,3,10,1,1,0,2,11,0,14,0,2
CL-11890,Carl Ludwig,106,4,1262.0140000000001,180.28771428571432,7,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Everett,Massachusetts,East,2,4,1,0,1,5,1,7,0,0,0
CL-12565,Clay Ludtke,284,12,10880.546,388.5909285714286,28,2300 Heavy-Duty Transfer File Systems by Perma,Los Angeles,California,West,4,18,6,1,6,2,19,28,0,0,2
